t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	324894.8904549747
0.002335721469090121	89611.1521728741
0.004281332398719391	45459.142026109555
0.007847599703514606	33452.893652866565
0.01438449888287663	29386.26113934878
0.026366508987303583	27401.357174417477
0.04832930238571752	26481.523629693213
0.08858667904100823	25997.40071141729
0.1623776739188721	25852.16383593451
0.2976351441631319	25827.95769002071
0.5455594781168515	25803.751544106915
1.0	25803.751544106915
