tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	395214.84374999977
3.359818286283781e-05	176806.64062499988
6.158482110660267e-05	120849.60937499994
0.00011288378916846884	104516.60156249994
0.00020691380811147902	94775.39062499994
0.000379269019073225	88989.25781249994
0.0006951927961775605	86938.47656249994
0.0012742749857031334	86279.29687499994
0.002335721469090121	86132.81249999994
0.004281332398719391	86059.57031249994
0.007847599703514606	86059.57031249994
0.01438449888287663	86059.57031249994
0.026366508987303583	86059.57031249994
0.04832930238571752	86059.57031249994
0.08858667904100823	86059.57031249994
0.1623776739188721	86059.57031249994
0.2976351441631319	86059.57031249994
0.5455594781168515	86059.57031249994
1.0	86059.57031249994
