tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	394848.63281249977
3.359818286283781e-05	176660.15624999988
6.158482110660267e-05	121069.33593749994
0.00011288378916846884	104809.57031249994
0.00020691380811147902	95141.60156249994
0.000379269019073225	89208.98437499994
0.0006951927961775605	87084.96093749994
0.0012742749857031334	86352.53906249994
0.002335721469090121	86132.81249999994
0.004281332398719391	86132.81249999994
0.007847599703514606	86059.57031249994
0.01438449888287663	86059.57031249994
0.026366508987303583	86059.57031249994
0.04832930238571752	86059.57031249994
0.08858667904100823	86059.57031249994
0.1623776739188721	86059.57031249994
0.2976351441631319	86059.57031249994
0.5455594781168515	86059.57031249994
1.0	86059.57031249994
